 NumElements:            1
 Element:            1
 FFD Points          240
           0             0             0
  -2.4929262697696686E-002   -0.22784169018268585         -1.4001223462400958E-005
           0             0             1
  0.34246382117271423         -9.0605802834033966E-002    0.54204189777374268     
           0             0             2
  0.74912911653518677          6.8712286651134491E-002     1.0840978622436523     
           0             0             3
   1.1704636812210083         0.21498432755470276          1.6261538267135620     
           0             0             4
   1.5984079837799072         0.36787831783294678          2.1682095527648926     
           0             0             5
   1.9781249761581421         0.52540999650955200          2.7102653980255127     
           0             0             6
   2.3787508010864258         0.70263391733169556          3.2523214817047119     
           0             0             7
   2.7574424743652344         0.88681828975677490          3.7943773269653320     
           0             1             0
  -2.4929262697696686E-002    -7.0312604308128357E-002    -1.4001223462400958E-005
           0             1             1
  0.34246382117271423          1.2444265186786652E-002    0.54204189777374268     
           0             1             2
  0.74912911653518677         0.14366832375526428          1.0840978622436523     
           0             1             3
   1.1704636812210083         0.27989584207534790          1.6261538267135620     
           0             1             4
   1.5984079837799072         0.42611375451087952          2.1682095527648926     
           0             1             5
   1.9781249761581421         0.57766640186309814          2.7102653980255127     
           0             1             6
   2.3787508010864258         0.75145393610000610          3.2523214817047119     
           0             1             7
   2.7574424743652344         0.92883044481277466          3.7943773269653320     
           0             2             0
  -2.4929262697696686E-002     8.7216481566429138E-002    -1.4001223462400958E-005
           0             2             1
  0.34246382117271423         0.11549434065818787         0.54204189777374268     
           0             2             2
  0.74912911653518677         0.21862435340881348          1.0840978622436523     
           0             2             3
   1.1704636812210083         0.34480735659599304          1.6261538267135620     
           0             2             4
   1.5984079837799072         0.48434922099113464          2.1682095527648926     
           0             2             5
   1.9781249761581421         0.62992292642593384          2.7102653980255127     
           0             2             6
   2.3787508010864258         0.80027401447296143          3.2523214817047119     
           0             2             7
   2.7574424743652344         0.97084259986877441          3.7943773269653320     
           1             0             0
  0.17217427492141724        -0.22784169018268585         -1.4001223462400958E-005
           1             0             1
  0.50731599330902100         -9.0605802834033966E-002    0.54204189777374268     
           1             0             2
  0.88005131483078003          6.8712286651134491E-002     1.0840978622436523     
           1             0             3
   1.2843101024627686         0.21498432755470276          1.6261538267135620     
           1             0             4
   1.6969801187515259         0.36787831783294678          2.1682095527648926     
           1             0             5
   2.0622851848602295         0.52540999650955200          2.7102653980255127     
           1             0             6
   2.4498040676116943         0.70263391733169556          3.2523214817047119     
           1             0             7
   2.8149859905242920         0.88681828975677490          3.7943773269653320     
           1             1             0
  0.17217427492141724         -7.0312604308128357E-002    -1.4001223462400958E-005
           1             1             1
  0.50731599330902100          1.2444265186786652E-002    0.54204189777374268     
           1             1             2
  0.88005131483078003         0.14366832375526428          1.0840978622436523     
           1             1             3
   1.2843101024627686         0.27989584207534790          1.6261538267135620     
           1             1             4
   1.6969801187515259         0.42611375451087952          2.1682095527648926     
           1             1             5
   2.0622851848602295         0.57766640186309814          2.7102653980255127     
           1             1             6
   2.4498040676116943         0.75145393610000610          3.2523214817047119     
           1             1             7
   2.8149859905242920         0.92883044481277466          3.7943773269653320     
           1             2             0
  0.17217427492141724          8.7216481566429138E-002    -1.4001223462400958E-005
           1             2             1
  0.50731599330902100         0.11549434065818787         0.54204189777374268     
           1             2             2
  0.88005131483078003         0.21862435340881348          1.0840978622436523     
           1             2             3
   1.2843101024627686         0.34480735659599304          1.6261538267135620     
           1             2             4
   1.6969801187515259         0.48434922099113464          2.1682095527648926     
           1             2             5
   2.0622851848602295         0.62992292642593384          2.7102653980255127     
           1             2             6
   2.4498040676116943         0.80027401447296143          3.2523214817047119     
           1             2             7
   2.8149859905242920         0.97084259986877441          3.7943773269653320     
           2             0             0
  0.36927780508995056        -0.22784169018268585         -1.4001223462400958E-005
           2             0             1
  0.67216813564300537         -9.0605802834033966E-002    0.54204189777374268     
           2             0             2
