 NumElements:            1
 Element:            1
 FFD Points          240
           0             0             0
  -2.4929262697696686E-002   -0.22784169018268585         -1.4001223462400958E-005
           0             0             1
  0.41684055328369141        -0.13954526185989380         0.54204189777374268     
           0             0             2
  0.96874910593032837         -7.5796373188495636E-002     1.0840978622436523     
           0             0             3
   1.5353269577026367         -2.5093531236052513E-002     1.6261538267135620     
           0             0             4
   2.1085143089294434          3.2231286168098450E-002     2.1682095527648926     
           0             0             5
   2.6334745883941650          9.4193793833255768E-002     2.7102653980255127     
           0             0             6
   3.1793437004089355         0.17584855854511261          3.2523214817047119     
           0             0             7
   3.7032785415649414         0.26446369290351868          3.7943773269653320     
           0             1             0
  -2.4929262697696686E-002    -7.0312604308128357E-002    -1.4001223462400958E-005
           0             1             1
  0.40317389369010925         -2.7502611279487610E-002    0.54204189777374268     
           0             1             2
  0.95508241653442383          8.1522539258003235E-003     1.0840978622436523     
           0             1             3
   1.5216602087020874          4.8810563981533051E-002     1.6261538267135620     
           0             1             4
   2.0948476791381836          9.9459342658519745E-002     2.1682095527648926     
           0             1             5
   2.6198077201843262         0.15544286370277405          2.7102653980255127     
           0             1             6
   3.1656770706176758         0.23366117477416992          3.2523214817047119     
           0             1             7
   3.6896119117736816         0.31546843051910400          3.7943773269653320     
           0             2             0
  -2.4929262697696686E-002     8.7216481566429138E-002    -1.4001223462400958E-005
           0             2             1
  0.38950723409652710          8.4540039300918579E-002    0.54204189777374268     
           0             2             2
  0.94141578674316406          9.2100881040096283E-002     1.0840978622436523     
           0             2             3
   1.5079935789108276         0.12271466106176376          1.6261538267135620     
           0             2             4
   2.0811810493469238         0.16668739914894104          2.1682095527648926     
           0             2             5
   2.6061410903930664         0.21669192612171173          2.7102653980255127     
           0             2             6
   3.1520104408264160         0.29147377610206604          3.2523214817047119     
           0             2             7
   3.6759452819824219         0.36647316813468933          3.7943773269653320     
           1             0             0
  0.17217427492141724        -0.22784169018268585         -1.4001223462400958E-005
           1             0             1
  0.58169275522232056        -0.13954526185989380         0.54204189777374268     
           1             0             2
   1.0996712446212769         -7.5796373188495636E-002     1.0840978622436523     
           1             0             3
   1.6491732597351074         -2.5093531236052513E-002     1.6261538267135620     
           1             0             4
   2.2070865631103516          3.2231286168098450E-002     2.1682095527648926     
           1             0             5
   2.7176346778869629          9.4193793833255768E-002     2.7102653980255127     
           1             0             6
   3.2503969669342041         0.17584855854511261          3.2523214817047119     
           1             0             7
   3.7608220577239990         0.26446369290351868          3.7943773269653320     
           1             1             0
  0.17217427492141724         -7.0312604308128357E-002    -1.4001223462400958E-005
           1             1             1
  0.56802606582641602         -2.7502611279487610E-002    0.54204189777374268     
           1             1             2
   1.0860046148300171          8.1522539258003235E-003     1.0840978622436523     
           1             1             3
   1.6355066299438477          4.8810563981533051E-002     1.6261538267135620     
           1             1             4
   2.1934199333190918          9.9459342658519745E-002     2.1682095527648926     
           1             1             5
   2.7039680480957031         0.15544286370277405          2.7102653980255127     
           1             1             6
   3.2367300987243652         0.23366117477416992          3.2523214817047119     
           1             1             7
   3.7471554279327393         0.31546843051910400          3.7943773269653320     
           1             2             0
  0.17217427492141724          8.7216481566429138E-002    -1.4001223462400958E-005
           1             2             1
  0.55435943603515625          8.4540039300918579E-002    0.54204189777374268     
           1             2             2
   1.0723379850387573          9.2100881040096283E-002     1.0840978622436523     
           1             2             3
   1.6218400001525879         0.12271466106176376          1.6261538267135620     
           1             2             4
   2.1797533035278320         0.16668739914894104          2.1682095527648926     
           1             2             5
   2.6903014183044434         0.21669192612171173          2.7102653980255127     
           1             2             6
   3.2230634689331055         0.29147377610206604          3.2523214817047119     
           1             2             7
   3.7334885597229004         0.36647316813468933          3.7943773269653320     
           2             0             0
  0.36927780508995056        -0.22784169018268585         -1.4001223462400958E-005
